Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2655,Wine,2013,2013,kcal/capita/day,6,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2762,Demersal Fish,2013,2013,kcal/capita/day,6,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2633,Cocoa Beans and products,2013,2013,kcal/capita/day,5,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2657,"Beverages, Fermented",2013,2013,kcal/capita/day,5,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2536,Sugar cane,2013,2013,kcal/capita/day,4,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2619,Dates,2013,2013,kcal/capita/day,4,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2641,Pimento,2013,2013,kcal/capita/day,4,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2516,Oats,2013,2013,kcal/capita/day,3,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2561,Sesame seed,2013,2013,kcal/capita/day,3,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2581,Ricebran Oil,2013,2013,kcal/capita/day,3,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2618,Pineapples and products,2013,2013,kcal/capita/day,3,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2735,"Meat, Other",2013,2013,kcal/capita/day,3,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2745,Honey,2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2558,Rape and Mustardseed,2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2579,Sesameseed Oil,2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2743,Cream,2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2775,Aquatic Plants,2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2557,Sunflower seed,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2563,Olives (including preserved),2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2570,"Oilcrops, Other",2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2612,"Lemons, Limes and products",2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2613,Grapefruit and products,2013,2013,kcal/capita/day,1,Fc,Calculated data
